 nodeID, x, y, ux, uy, sx, sy, sxy
53167,96.1506,-276.107,0.427886,0.036476,-0.0302863,-0.00527122,-0.0164172
53168,97.3063,-275.702,0.423085,0.0407025,-0.0291495,-0.00561464,-0.0164853
53169,98.4603,-275.292,0.418368,0.0448574,-0.0279973,-0.00594245,-0.0165149
53170,99.6125,-274.877,0.413738,0.0489457,-0.0268324,-0.00625395,-0.0165063
53171,100.763,-274.457,0.409196,0.0529729,-0.0256577,-0.00654847,-0.0164604
53172,101.912,-274.033,0.404742,0.056945,-0.0244759,-0.00682538,-0.0163776
53173,103.059,-273.603,0.400377,0.0608683,-0.0232899,-0.00708406,-0.0162588
53174,104.204,-273.169,0.396101,0.0647497,-0.0221027,-0.00732393,-0.0161045
53175,105.347,-272.73,0.391915,0.068596,-0.0209171,-0.0075444,-0.0159155
53176,106.489,-272.287,0.387818,0.0724148,-0.0197362,-0.00774491,-0.0156926
53177,107.628,-271.838,0.383807,0.0762136,-0.0185631,-0.00792487,-0.0154366
53178,108.766,-271.385,0.379883,0.0800004,-0.0174008,-0.00808372,-0.0151484
53179,109.902,-270.927,0.376043,0.0837833,-0.0162526,-0.00822089,-0.0148287
53180,111.036,-270.464,0.372285,0.0875707,-0.0151215,-0.00833578,-0.0144785
53181,112.168,-269.997,0.368607,0.0913709,-0.014011,-0.0084278,-0.0140988
53182,113.298,-269.525,0.365005,0.0951926,-0.0129241,-0.00849634,-0.0136907
53183,114.426,-269.048,0.361476,0.0990445,-0.0118643,-0.00854081,-0.0132552
53184,115.552,-268.566,0.358016,0.102935,-0.0108348,-0.00856057,-0.0127935
53185,116.676,-268.08,0.354621,0.106874,-0.00983899,-0.008555,-0.0123068
53186,117.798,-267.589,0.351287,0.110869,-0.00888013,-0.0085235,-0.0117967
53187,118.917,-267.093,0.348008,0.114929,-0.00796144,-0.00846546,-0.0112646
53188,120.035,-266.592,0.34478,0.119062,-0.00708609,-0.00838029,-0.0107122
53189,121.151,-266.087,0.341596,0.123277,-0.00625711,-0.00826744,-0.0101413
53190,122.264,-265.577,0.338452,0.127582,-0.00547737,-0.00812641,-0.00955379
53191,123.376,-265.063,0.33534,0.131984,-0.00474954,-0.00795677,-0.00895199
53192,124.485,-264.544,0.332254,0.136491,-0.00407601,-0.00775815,-0.00833827
53193,125.592,-264.02,0.329189,0.141109,-0.00345885,-0.00753032,-0.00771527
53194,126.697,-263.492,0.326136,0.145845,-0.0028997,-0.00727314,-0.00708588
53195,127.799,-262.959,0.323089,0.150704,-0.00239974,-0.00698666,-0.00645328
53196,128.9,-262.421,0.320042,0.155691,-0.00195955,-0.00667108,-0.00582098
53197,129.998,-261.879,0.316986,0.160809,-0.00157903,-0.00632682,-0.00519281
53198,131.094,-261.332,0.313916,0.166062,-0.00125731,-0.00595453,-0.00457299
53199,132.187,-260.781,0.310824,0.171451,-0.000992614,-0.00555514,-0.00396616
53200,133.278,-260.225,0.307704,0.176975,-0.000782169,-0.00512983,-0.00337743
53201,134.367,-259.664,0.304549,0.182635,-0.000622081,-0.0046801,-0.00281243
53202,135.454,-259.099,0.301354,0.188426,-0.000507243,-0.00420778,-0.0022774
53203,136.538,-258.529,0.298114,0.194345,-0.000431238,-0.00371502,-0.00177926
53204,137.619,-257.955,0.294822,0.200384,-0.000386279,-0.00320431,-0.0013257
53205,138.699,-257.376,0.291475,0.206535,-0.00036315,-0.0026785,-0.000925255
