contour,relative_angle_deg,radius_ед. длины,sigma_rr_mpa,sigma_tt_mpa,tau_rt_mpa
mid,-21.337918045473238,274.94500621918854,7.73830250237551e-09,-1.8389676201181565e-08,5.1832662961900504e-08
mid,-20.961305786580702,274.94500621918854,4.495782135572973e-09,-2.2437532361033373e-08,5.0333608819321755e-08
mid,-20.58469352768827,274.94500621918854,7.851590137421573e-10,-2.6926276911521603e-08,4.820897414745555e-08
mid,-20.208081268795734,274.94500621918854,-3.4818316959303647e-09,-3.187305755687032e-08,4.537439372909692e-08
mid,-19.8314690099033,274.94500621918854,-8.407316246243468e-09,-3.729256891567382e-08,4.173487763004838e-08
mid,-19.45485675101087,274.94500621918854,-1.4109798839546285e-08,-4.319557498685922e-08,3.718431894117518e-08
mid,-19.07824449211874,274.94500621918854,-2.072722504330779e-08,-4.958701534061304e-08,3.160513678634931e-08
mid,-18.701632233229613,274.9450062191885,-2.8420677761626516e-08,-5.6463612546152164e-08,2.486811219518302e-08
mid,-18.32501997437199,274.9450062191886,-3.737880853118381e-08,-6.381087859465758e-08,1.683247589662744e-08
mid,-17.948407715798172,274.94500621918854,-4.7823103450074286e-08,-7.159940239153126e-08,7.346271866982711e-09
mid,-17.57179545952514,274.9450062191886,-6.001488906936633e-08,-7.977998776194175e-08,-3.752337040755498e-09
mid,-17.195183219975263,274.94500621918854,-7.426608251105683e-08,-8.827662802767031e-08,-1.6630087847686554e-08
mid,-16.818571089438464,274.94500621918854,-9.095350934068968e-08,-9.69766952045806e-08,-3.144542881974002e-08
mid,-16.44195959739471,274.94500621918854,-1.1053041029901146e-07,-1.0571997996371675e-07,-4.832403396771664e-08
mid,-16.065351452918804,274.9450062191886,-1.3352401018096148e-07,-1.1429100126659882e-07,-6.732487544274665e-08
mid,-15.688759024232056,274.9450062191886,-1.605105444827358e-07,-1.2241969943031137e-07,-8.840365887025771e-08
mid,-15.312232558205702,274.9450062191886,-1.920685339673914e-07,-1.2979286538844758e-07,-1.1138105370241441e-07
mid,-14.93595302815538,274.94500621918854,-2.287199171306315e-07,-1.3607385785288675e-07,-1.3591810668366322e-07
mid,-14.560486219243062,274.94500621918854,-2.708626436851258e-07,-1.4092627430735286e-07,-1.6149615319177758e-07
mid,-14.187310477385312,274.9450062191886,-3.186565087419848e-07,-1.4404686499229706e-07,-1.8741214979852345e-07
mid,-13.8193818463899,274.94500621918854,-3.717929844641594e-07,-1.4522720619612168e-07,-2.128432121365823e-07
mid,-13.460606926926792,274.94500621918854,-4.292942956102603e-07,-1.444294850137663e-07,-2.3702467880441418e-07
mid,-13.11364950234556,274.94500621918854,-4.897745547913224e-07,-1.417959242731996e-07,-2.5944388305460785e-07
mid,-12.778472171569076,274.94500621918854,-5.520817769406787e-07,-1.3756677074845246e-07,-2.7988507007365514e-07
mid,-12.453236288478509,274.94500621918854,-6.156148428912763e-07,-1.3199027115739742e-07,-2.983245175958488e-07
mid,-12.135776477435504,274.9450062191886,-6.801470947105135e-07,-1.2528362903328988e-07,-3.1480724997346344e-07
mid,-11.824255647068668,274.9450062191886,-7.455746201983247e-07,-1.1763156420743686e-07,-3.293820949665137e-07
mid,-11.51729007322519,274.94500621918854,-8.117942199440046e-07,-1.0919610929504723e-07,-3.420850770571623e-07
mid,-11.213892998128067,274.94500621918854,-8.786679223311049e-07,-1.0012475529465947e-07,-3.529432636814223e-07
mid,-10.91329840449887,274.94500621918854,-9.46029918456072e-07,-9.055371581006297e-08,-3.619804971303438e-07
mid,-10.614969063442377,274.9450062191886,-1.0136921736592572e-06,-8.061123782679143e-08,-3.6922275145889465e-07
