arc_coordinate,relative_angle_deg,active,facet_length,active_length,average_penetration,maximum_penetration,integrated_normal_force,average_pressure_mpa
15.299560320073446,2.9220007824867715,1,0.8537452881709874,0.8537452881709874,0.004741605564788642,0.004749628617616963,2.0240617046518183,2.3708027823943205e-06
16.206445724367402,3.0952031363803014,1,0.9600248226924075,0.9600248226924075,0.00471111777468991,0.00472069685565657,2.261395003164865,2.3555588873449546e-06
17.234304957904456,3.291509789764384,1,1.0956926257550426,1.0956926257550426,0.004674019652242123,0.004685859182245622,2.560644432797921,2.337009826121061e-06
18.418437739433458,3.5176624923133795,1,1.272571374209784,1.272571374209784,0.004628193257531166,0.004642811608846387,2.944853126922446,2.3140966287655827e-06
19.80680641817756,3.782821377980684,1,1.5041634536277229,1.5041634536277229,0.004572119357817428,0.004589875287649647,3.4386074218264144,2.286059678908714e-06
21.459013203276367,4.098369630210817,1,1.8002458399008612,1.8002458399008612,0.004505670040515498,0.004526278641890258,4.055656873201984,2.252835020257749e-06
23.434683456187955,4.47569485421541,1,2.151087356694239,2.151087356694239,0.0044319334436693225,0.004453896686300141,4.766737998193719,2.2159667218346607e-06
25.76175408608714,4.920132606622321,1,2.503042034701848,2.503042034701848,0.004352945166203881,0.004376585826832979,5.447802362880267,2.1764725831019404e-06
28.40111466805313,5.424213346488468,1,2.7756619685969546,2.7756619685969546,0.0042595695923353105,0.004289839344380653,5.911562660018578,2.1297847961676556e-06
31.25492319576555,5.969250627076351,1,2.9319335180341133,2.9319335180341133,0.004136505539690916,0.004177286851529516,6.063979619676792,2.0682527698454577e-06
34.22098550486954,6.535726800691304,1,3.000166929494019,3.000166929494019,0.003978533962225583,0.004028957583159354,5.968133010669002,1.9892669811127915e-06
37.233267466136155,7.1110302776378616,1,3.0243716835377206,3.0243716835377206,0.0037905519899652518,0.0038486598113536274,5.732019051714232,1.8952759949826258e-06
40.26132917143927,7.68934746370138,1,3.0317260188619923,3.0317260188619923,0.003577348757659138,0.003642333879895432,5.422770653569415,1.7886743788295685e-06
