radius_ед. длины,relative_angle_deg,sigma_rr_mpa,sigma_tt_mpa,radial_displacement_ед. длины
293.87344500021624,-1.526666247102488e-13,-2.4774784453820593e-06,-4.11419059635504e-07,2.801064577435172
293.8734450002163,0.1309239184701007,-2.477267811219183e-06,-4.1142094482504307e-07,2.8195145708858846
293.8734450002163,-0.13092391847045692,-2.477267811220841e-06,-4.114209448257326e-07,2.784331728166083
294.09655590850423,-1.526666247102488e-13,-2.4777725974744395e-06,-4.192307125809509e-07,2.770697508692803
294.0965559085043,0.128340799374755,-2.477570025682008e-06,-4.1923297201270693e-07,2.7887698429027536
294.0965559085043,-0.12834079937506035,-2.477570025683173e-06,-4.192329720130816e-07,2.7542811538593166
294.31818615873345,-0.12575533959527907,-2.4778717564441113e-06,-4.270280257378773e-07,2.7245323673836452
294.31818615873345,0.12575533959497373,-2.4778717564434913e-06,-4.270280257377684e-07,2.7583262736755905
294.31818615873345,-1.526666247102488e-13,-2.4780664141030458e-06,-4.270254206419769e-07,2.7406315215560997
294.5383573922341,-1.526666247102488e-13,-2.478359983934128e-06,-4.3480293113681074e-07,2.7108621345731945
294.5383573922341,0.12316762476991416,-2.478173092361911e-06,-4.3480585260551214e-07,2.7281794046653824
294.53835739223416,-0.1231676247702195,-2.478173092362328e-06,-4.3480585260568346e-07,2.695080887185302
294.75709097041846,-0.12057773578617079,-2.478474118680659e-06,-4.425662146648393e-07,2.6659222989237175
294.75709097041846,-1.526666247102488e-13,-2.4786533921288807e-06,-4.4256300663697424e-07,2.681384933099487
294.7570909704185,0.12057773578586545,-2.478474118681636e-06,-4.4256621466580464e-07,2.6983248432691034
294.9744079769953,-1.526666247102488e-13,-2.4789467202032843e-06,-4.5030542699963424e-07,2.6521955687618854
294.9744079769953,-0.11798574890947551,-2.4787749168914653e-06,-4.5030889143662983e-07,2.6370522549309974
294.9744079769953,0.11798574890917017,-2.478774916893294e-06,-4.5030889143834936e-07,2.6687582623149977
295.19032922023047,-1.526666247102488e-13,-2.4792400442566746e-06,-4.5802996853232947e-07,2.623289758906218
295.1903292202305,0.11539173591639817,-2.479075562937976e-06,-4.580336590618752e-07,2.639475399540133
295.1903292202305,-0.11539173591665261,-2.479075562937094e-06,-4.580336590610586e-07,2.6084664736546657
295.40487303291854,-1.526666247102488e-13,-2.4795334363504115e-06,-4.657364003853562e-07,2.5946635794056006
295.40487303291854,0.11279579096448666,-2.4793761285912618e-06,-4.65740286694492e-07,2.610472354308268
295.4048730329186,-0.11279579096474111,-2.4793761285909268e-06,-4.657402866942634e-07,2.580161029154674
295.6180592815286,-1.526666247102488e-13,-2.4798269674896414e-06,-4.734245389851e-07,2.566312927223399
295.61805928152864,-0.2204284620170921,-2.4792256971422196e-06,-4.734407321858137e-07,2.539198099653948
295.61805928152864,-0.11019798266247838,-2.4796766845195063e-06,-4.7342859095043316e-07,2.552131819586949
295.61805928152864,0.22042846201683766,-2.479225697141312e-06,-4.7344073218475143e-07,2.5984331700578016
295.61805928152864,0.11019798266222393,-2.4796766845194166e-06,-4.7342859095023877e-07,2.5817450432136604
295.82990961426805,-1.526666247102488e-13,-2.480120703116025e-06,-4.810942365640924e-07,2.538233491312338
295.8299096142681,-0.2152295760757291,-2.4795469328406465e-06,-4.811109793093761e-07,2.5117086340213772
295.8299096142681,0.21522957607547466,-2.479546932839661e-06,-4.811109793082556e-07,2.569546630263764
295.8299096142681,0.10759835039057646,-2.4799772957281983e-06,-4.810984243820885e-07,2.5532891704769773
295.8299096142681,-0.1075983503908818,-2.4799772957280006e-06,-4.810984243820486e-07,2.524374538588109
296.04044194421573,-1.0177774980683254e-13,-2.4804147001609066e-06,-4.887452950813573e-07,2.510421484455072
296.04044194421573,-0.21002719811687026,-2.4798678311177304e-06,-4.887624693014272e-07,2.4844889761036746
296.04044194421573,0.2100271981166158,-2.4798678311163887e-06,-4.887624692999977e-07,2.540928959313143
296.0404419442158,0.10499697198311153,-2.4802780185339296e-06,-4.88749589396051e-07,2.5251009696006124
296.0404419442158,-0.10499697198336597,-2.480278018533732e-06,-4.887495893961151e-07,2.496885398743266
296.2496718032561,-1.0177774980683254e-13,-2.48070901694831e-06,-4.963775392168959e-07,2.4828734573556868
296.2496718032561,-0.10239394844605272,-2.4805789106088354e-06,-4.963819113117462e-07,2.469660947546773
296.24967180325615,0.20482153013769602,-2.4801884477008254e-06,-4.963950294284066e-07,2.5125767764868367
296.24967180325615,0.10239394844579829,-2.4805789106088832e-06,-4.963819113114619e-07,2.4971770152233015
296.24967180325615,-0.20482153013795046,-2.4801884477001084e-06,-4.963950294278885e-07,2.4575356908892183
296.4576228762023,-0.09978927260188046,-2.480880020291608e-06,-5.039952411012541e-07,2.442696698721878
296.4576228762023,-1.0177774980683254e-13,-2.4810037025777312e-06,-5.039908192426995e-07,2.455584913611017
